ENTREZG_ID	logFC	Fold Change	AveExpr	t	P.Value	adj.P.Val	B
24655	0.22860331304707	1.17170006586509	2.68887542249036	2.82001817651105	0.0197515568599918	0.0713599307625622	-4.17741696485482
54263	-0.174722544080403	-1.12874730574529	1.88135897607373	-2.81548324668432	0.0198994532032104	0.0718341999089991	-4.18494434849137
81740	-0.241490442077628	-1.18221337034402	4.02127844823203	-2.81440955576661	0.0199346337465857	0.0719011288973261	-4.18672642077362
56813	-0.26411065929238	-1.20089553645495	2.9825949645568	-2.81184767472641	0.0200188319956632	0.0721445980427529	-4.19097835869735
296570	0.198651825262253	1.14762541671636	8.6224101843579	2.81125835741548	0.0200382514742805	0.0721544038503051	-4.19195640936107
79438	0.107497042989663	1.07735748771487	2.02741492556849	2.81061565547526	0.0200594519429603	0.0721706010370788	-4.19302304364946
363614	0.206274191545444	1.153704851712	2.44159498945312	2.8089054929246	0.0201159752977326	0.0723137514654762	-4.19586116765371
81715	-0.264186161889338	-1.20095838626156	3.47658397166751	-2.80562671309124	0.0202247968919139	0.0726445115294762	-4.20130219119286
171440	-0.234404365031185	-1.17642093661782	2.37774362937104	-2.80244609077601	0.02033093239141	0.0729650821123609	-4.20657991612008
171304	0.275351254970436	1.21028872403113	2.24323931744667	2.80106091539441	0.0203773316345503	0.0730709128571716	-4.20887826121555
192241	0.254073704339733	1.19256979672681	9.2689356143476	2.79989566158155	0.0204164474805135	0.0730792805467221	-4.21081164181925
81810	-0.431213598046027	-1.34836734933017	3.16932561715114	-2.79932805532195	0.0204355288052391	0.0730792805467221	-4.21175338974685
29504	-0.109457414986011	-1.07882242449943	2.50215598789792	-2.79850356729655	0.0204632780505616	0.0730792805467221	-4.21312132115304
29743	-0.329756137923202	-1.25680091660284	5.23113079255362	-2.79786608118915	0.0204847597362313	0.0730792805467221	-4.21417897305937
315265	-0.222559528608246	-1.16680180941665	6.33178692831431	-2.79786580991977	0.0204847688822048	0.0730792805467221	-4.21417942311825
292855	0.153223797804147	1.11205165094656	2.09948093746853	2.79753323382772	0.0204959849609837	0.0730792805467221	-4.214731192721
192256	-0.151801415954109	-1.11095579731805	4.20515273828382	-2.79747192616438	0.0204980532336559	0.0730792805467221	-4.21483290639929
81661	0.263937353838159	1.2007512861175	1.62995294071761	2.79516914378838	0.0205758935369896	0.0732963198461107	-4.21865326851314
683626	-0.466418812185232	-1.38167548823189	7.14656659483191	-2.79260879879511	0.0206627927288661	0.0735452449599922	-4.22290066901537
29569	-0.361867619425675	-1.28508841334632	6.18643705924421	-2.7918354779014	0.0206891127915543	0.0735553204056319	-4.2241834893556
192274	0.119604535132897	1.08643701263503	1.38141779899212	2.79152560307674	0.0206996689685833	0.0735553204056319	-4.22469751678402
100360587	-0.0968288459844515	-1.06942020977472	1.47168041073052	-2.7880317491717	0.020819069563648	0.0738857977219945	-4.23049291345744
306262	-0.237828202775965	-1.17921616194161	1.82842448060108	-2.78780422896199	0.0208268691565354	0.0738857977219945	-4.23087029195233
282708	0.135288700042682	1.09831257690744	1.87675559966234	2.7842966501465	0.0209474881555237	0.0741412589895127	-4.23668788046597
